,tweet_text,keyword
54383,"Too much credit. You & 
@taylor_searels
 make me better than what I am.",sear
54405,I mean they could for a single season and still afford their climate destroying lifestyles billionaires are just cheap,climate
54606,"My interview on 
@OANN
 with 
@Natashasweatte
 about the teacher shortage in America.",sweat
54673,"I use mine for:
1. Drying whatever I hand wash
2. As a dishwasher when I don’t want to wash the dishes 
3. Temporary storage 

 https://t.co/euHCUE8Xn7",dry
54758,"When winter storms hit they'll come out of hiding and say ""Global warming my ass!""

As to be expected",warm
54788,"Okay, well I eat nightshades all the time and I'm fine so I'm going with cilantro until I get checked out by an allergist. Thanks.",shade
54847,"Got our little lady who loves to lay out….some SHADE  @ Austin, Texas",shade
54886,And bake!,bake
54956,Phone dry af,dry
54995,"@BayleighMinor
 4x400 anchor leg 
@usatf
 National Junior Olympics 
Everyone been talking and asking about it. Guess we’ll share. 

We Are Super Proud of Bayleigh and the Afterburners Track Club teammates. 
@FBTrackField
 @vypehouston
 @TTFCA
 @LSCSN
 @FBEagles",burn
55040,"Hope you recover quickly Senator. LMAO, you know no families earning < $400k will exp a tax incr. The Inflation Reduction Act will reduce deficit by $300B+, preserve healthcare ins affordability for millions, largest Amer invest 4 climate change ever, & cut prescrip drug costs.",climate
55093,"Thank u for live streaming Thursdays shareholder meeting. There are so many people who would have liked to attend & then there’s those that procured invitations & can’t come. Tesla is an amazing company, no other co. has people desiring a shareholder meeting to this degree!",degree
55122,"So many smiling faces registering today 

GO TRAILBLAZERS!! 

#kidsdeserveit 
#AISDproud",blaze
55133,"Here comes LBJ  

Reigning State Runners-Up taking the field in the HEAT for day one of practice  
@LBJSports
 | 
@KXAN_News",heat
55148,"#treacherous #trap #gkeyzotb #thabeatdontstop #thahustlecontinues #synclicensing #thaheatdontstop @ Austin, Texas",heat
55198,Ready for it to be fall for Halloween and the spooky weather ,weather
55206,"2 things about this heat.
.
1.) Stay hydrated 
2.) Watch how you guvjin' talk to me...
.
#JusSayin #SorryNotSorry #MyINFAMOUSLife #ImINFAMOUS #LetsBeINFAMOUSTogether #YerDoinItWrong https://instagram.com/p/CgvCd90FCC9/?igshid=YTgzYjQ4ZTY=…",heat
55327,Drop it like a thotty,hot
55346,"Motorsport. Put that thing in sport.
Shawty bad. Pop her like a cork. 

#YourSneakersAreDope #AirJordanIV #sheaker #SNKRS #LoveTheSmellOfDSkicks",hawt
55484,Accident in #Austin on Wells Br Pky at Thermal Dr #ATXtraffic http://bit.ly/10BGKax,thermal
55508,Accident cleared in #Austin on Wells Br Pky at Thermal Dr #ATXtraffic http://bit.ly/10BGKax,thermal
55562,"Super busy day at Giga Texas, more solar on roof, tons of Model Y‘s being shipped and some huge deliveries going into casting area! #Tesla #GigaTexas #ModelY",solar
55590,"“That’s not a great question.”
-Sark a little fiery today with the Austin media!",fiery
55599,"Biergarten Pils is BACK!
This summertime crusher pairs nicely w/the shade of our live oak trees.

Biergarten Pils is an adjunct German-Style pilsner brewed w/German Huell-Melon hops.

A flower-rich fiesta that's big on flavor & extremely approachable!

Welcome to the biergarten!",shade
55795,"@thirsttrip
 ",thirst
55860,stop roasting me from the brand account,roasting
55902,randomly thinking about those metal slides they would have at playgrounds ik them bitches hot rn,hot
55927, I see you cooling in this summer motha fuckn heat ,cooling
56043,Wow… wouldn’t have guessed Dallas would be more oppressively hot.,hot
56088,It’s hot as fuck in Austin today ,hot
56098,All black leather interior cool until your car registers 115 degrees,degree
56226,"Take a look. 
@cbsaustin
’s 
@RicardoLewisTV
 arrives at a ""large vegetation fire"" on the border of Hays & Blanco counties. It’s burned 250 acres & is moving north/NW toward US 290. Some of the homes in the area are being evacuated as a precaution.

 FM 165",burn
56246,Truth. Be 50 next week. I’ve cried & learned who I am during 6-mile 100+ degree runs and in middle of nowhere tiny houses. But also moments of great clarity & joy in both.,degree
56298,Hot tamales and I'm sweating. Just as the prophecy foretold.,hot
56358,"This #TexasHeat aint no joke  I'm really missing them #Florida temps  @ Austin, Texas https://instagram.com/p/CgxhRXWr3BW/?igshid=YTgzYjQ4ZTY=…",heat
56536,love a good sweaty selfie   #Fit4RTX #Fit4Next,sweat
56542,"Congratulations #PACTAct  people. We love you . .
@Burnpit360",burn
56599,my steam deck should be here tomorrow ,steam
56637,"So are you feeling okay? You are good I'm sure. If you don't have that cough or fever, I bet you are good to go! Don't worry so much, you'll make yourself sick!! ",fever
56653,"NOTHING has changed. We are still neglected, Hornsby Bend is actively shortening the lives of its residents by maintaining these:
#foodinsecurity 
#FoodDesert #healthcaredesert #publictransportation We need to #ElectBetter #getoutandvote 
https://decibelatx.org/health/well-take-anything-we-can-del-valle-talks-lack-of-food-options/…",desert
56678,"Please help us give a warm welcome to Legacy Bone and Joint Orthopedics newest Physician Assistant, McKenzie Lavengco. #physicianassistant #lbjo #getmoorebetter #orthopedicsurgery",warm
56742,"Oh, it looks to me like a star link satellite. But it does not look like it is one that survived a trip from orbit. This appears too intact and un damaged by the heat of re entry! 
Just saying? TJ",heat
56747,Cold weather me plzzz.,weather
56777,"HUGE thank you to St. Peter’s United Methodist Church!!  & shoutout to our parent support specialist, Ms.Macedo, for organizing this connection! 

Boxes of backpacks and school supplies were donated for our Trailblazers today  

#KidsDeserveIt
#AISDProud",blaze
56793,Regulate the rate at which global warming is occurring.. limiting greenhouse gases will help,warm
56818,Now that was some good training with how windy it was for todays ride. #cannondale #velocio #pactimo @ Lake Pflugerville,windy
56873,"TONIGHT: on 
@TheHornATX
 airwaves, FLX Summer Social series continues with Vista Ridge VB (Ryleigh, Emma, Olivia) Vandegrift VB (Ellie, Ava, Mackenzie) and Lake Travis (Jacob Henry) #buiLT #txhsfb (stream link in bio) 
@VistaRidgeVball
 @LadyViperVB
 @LTHSCavFootball",arid
56899,"lord I am GLAD I don’t gave a dog bc who is walking out in this heat? also if you have a dog and keep them outside, choke on glass.",heat
56941,Sunshine-Fuhry’s in 2007. First year in Austin. Time fucking flies.,sunshine
56956,"BREAKING WEDNESDAY: 
@VistaRidgeVball
 Ryleigh Garis (‘23) verbally D1 committed to Cal-Sate Fullerton #txhsvb",arid
56990,"If you’re able, now is a great time to give blood for those who need it. Plus, free Blue Bell? Doesn’t get better for this 100 degree Texas day",degree
56994,"Recently the D2 Team joined AFD for a comprehensive training session on flood preparedness. While we see more drastic and unstable weather events in #Austin, we must ensure that communities are equipped with the tools needed to stay safe and resilient.",weather
57096,"Well it's a done deal & now will run the regulatory approval process! I attended an analyst call today & came away bullish on the synergies & vision for the combo to address #ClimateChange concerns through #IoT connectivity solutions 
@SemtechCorp
 @SierraWireless
 @LoRaAlliance",climate
57162,"Beat the back to school rush and book your #sun kissed #glow today...
Be sure to check out the August specials and call 512.787.9480 for large group rates. @ Austin, Texas https://instagram.com/p/Cgz0lZHJiux/?igshid=YTgzYjQ4ZTY=…",glow
57315,First practice is underway. It be toasty,toast
57322,I say the industrial age is the root of all these climate issues,climate
57385,I can’t remember a day when it didn’t go over 100 degrees,degree
57421,"Ever since 
@Whataburger
 sold out, they can't get my online order through the app right.  Today I ordered curbside. When I finally went in, there it was sitting out on the counter not even under a heat lamp & short a chicken breast!!!",heat
57447,Discarded cigarettes are considered litter & especially dangerous in these dry conditions!! DON’T DO IT  please.,dry
57448,Are there any other pet friendly cooling centers across the US? I hope so!,cooling
57495,"For realz 
It's freakin hot ",hot
57566,Poor little boys bout 2b soo distracted!! Lol pay attention #hotforteacher,hot
57639,".#SmokeRiderFire update from 
@TXForestService
:

Three residential structures and one occupied trailer burned.

800 acres 
60% contained",burn
57646,I’m really sick of the heat,heat
57724,"Texas has enjoyed stellar growth over the past 20 years, the “business friendly,” with 300+ days of sunshine, and bridges hardly ever freeze. In the past month, I’ve had 4+ female friends move away…",sunshine
57792,"No-Gi Wednesday! Brazilian Jiu-Jitsu class is warming up, you still have time to join us! @ Vasquez Academy",warm
57935,Blazer Tag was a blast last night! Thanks for everyone who came out! Don’t worry we will be going back this year! #shpcyouthgroup #shpcaustin #lovegodloveeverybody,blaze
58028,"My dad is retired paramedic. He used his biology degree and took to the streets to have a city job to raise us kids.  

It was good when it was HHC.  It’s been fucked since it’s been FDNY.",degree
58101,"My husband and I both love shelties and collies, but I live in Austin, Texas, where it is hot 9 months out of the year (and we’re having extreme heat this summer) so long-haired dogs don’t fare as well as short-haired dogs do here!",heat
58170,"Sick burn yet funny 'cause it's true.

I laughed, I cried, I would've said goodbye to my innocence but I was the General's driver in the USAF.",burn
58218,Prepare to sweat through all of your clothing lol,sweat
58430,"9 years is a lot, but even in America a weed pen is a felony. If it’s considered a 3rd degree felony, you can face 2-10 years in prison. It’s a group 2 control substance. I don’t know if in Russia you have to do the whole sentence. Hopefully they have probation option like USA.",degree
58454,"Our rental home is getting sold. Price is a factor, heat, political climate. Gonna miss Austin terribly regardless. But change is good, a fresh start is gonna be welcome:",climate
58493,"""High production from renewables and high fossil fuel prices together mean wind and solar are having an outsized impact on lowering energy costs."" #txenergy https://rmi.org/wind-and-solar-are-saving-texans-20-million-a-day/…",solar
58705,Tried to go sit outside & read. Lasted 5mins  it’s too mf hottt,hot
58741,"Let our $25M bus replacement program be written to allow this to be used for federal grant matching, if such a program becomes available soon.

EPA has a $2B program approved to grant school districts funds for diesel replacement. 

More $$ might be in the final climate bill too.",climate
58762,A cold beer after a hot work day!! #offwork #Corona,hot
58863,"Practice No. 2 of the preseason for 
@TexasFootball
 is in the books. Bijan Robinson now meeting with the media. When asked about practicing in the heat, he said he welcomes it being from Arizona. #HookEm",heat
58891,"Just got out of Dub academy

They gave me a degree after 5 minutes of conversation 

Purely based on pedigree",degree
58899,"“It’s not going nowhere anytime soon,” DeMarvion Overshown said when asked about practicing in the heat. “We know this is going to help us in the long run.” #HookEm",heat
59101,Stuck in Austin due to weather in Newark  @ ATX International Airport https://instagram.com/p/Cg24GTjMJ5mR019LY_49jbizzEQFWPr1ys-vxw0/?igshid=YTgzYjQ4ZTY=…,weather
59158,"Another amazing din in the books with the Boyz. Odd Duck new menu is money and got to see my long lost bestie 
@drusellers
 . 

Also brought out so much heat on the feet I almost melted the floor. 

Arguably the best Jordan Colorway ever. Don't @ me . 

#TravisScott #IYKYK",heat
59188,"In-N-Out - Austin, Texas - My husband and I both had a cheeseburger and a vanilla shake. We both had diarrhea and nausea for a couple days. Now we both feel like we have no energy. We hav... Food Poisoning https://iwaspoisoned.com/i/grppPn3 #innout #nausea #diarrhea #fatigue",fatigue
59281,The Friday morning breakfast club    - hot reps  with a side of “getting better” is now served. Who’s tryna eat ?   #WAMM ,hot
59445,Welcome to South Austin! #tacos #lemonade #heatwave #austintexas @ Veracruz All Natural,heat
59485,I am loving this movie. It’s so intense. It’s so good!,intense
59659,"My eyes apparently do not abide by my foundation. The burning omg.  

Had to deploy emergency chocolate, and was given this lovely reminder.",burn
59740,"Do you know an older adult in need of an AC or fan? 
@mealsonwheels
 can help!

Remember to check in on your elderly/vulnerable neighbors during this hot weather.",hot
59765,the first random IPA I’ve had this year that’s actually pleasant. Am I getting acclimated or is it good? I dunno! I am gonna drink a few and find out - Drinking a Hoptimism by Hedgehog Brewing @ Workhorse Bar  — https://untp.beer/s/c1188036956,climate
59803,"#Arsenal #AFC Smash&grab. Nice, cost free reminder that we’re not hot shit yet. First ACTUAL game our defense has really played/tested, basically a pre-season game for them,lucky it didn’t cost us. Brush off, take the 3pts. 
@clivepafc
 @YankeeGunner
 @PoznanInMyPants",hot
59868,"Hot, unhinged, and based",hot
59877,"every shade of 
@headandtheheart
 in austin ",shade
59883,"trees, cars, sunlight, heat, first names",heat
59955,Friday beast ass gym sesh w/ @Carissa_Throck in 100 degree heat ,degree
59966,"Petit reminder sur les vidéos de la sorte que vous voyez durant les TC :

Cet exercice ne gage en rien de la qualité d'un CB. La majorité des défenseurs se feront toujours burn. Seuls les mecs elite font des plays récurrents en 1v1. Se faire battre par le WR11 ne change rien.",burn
59997,Hot ppl only sry,hot
60031,"This lady is fucking hot and I support her doing adult content and all that but like, dude! Stop being weird ",hot
60061,"The clean energy incentives coming via the IRA will start to flip the switch. Big stuff. 
——-
https://bloomberg.com/news/articles/2022-08-05/go-solar-the-us-climate-bill-includes-tax-credits-for-homeowners…
——-",climate
60109,"Too soon? Have these scary hot temps  shriveled up all thoughts of Halloween? Not at 
@bucees
. I blame my purchases on dreams that it will cool off enough to wear those Buc-ee covered sweat pants.",hot
60138,What is your core expertise . I though security is a hot field ..,hot
60141,"#MasterPancake made #50ShadesofGrey accessible to me!
""Totem pole for atheists"" in living room!",shade
60151,You know you were raised Catholic when baking cod on a Friday night has you questioning whether or not it’s Lent,baking
60260,"i wonder if 
@spencermusic
 knows that i would die for him and his flared pants",flare
60308,"Mommy n me are celebrating 
@floresmexican
. We are sitting outside and it is nice. Not too hot cause God maked it breezy-- Mocha

#dogswhogowiththeflow #dogswholovetexmex #shihtzusofinstagram #dogsofinstagram #atx",hot
60313,I know they weren't going to beat the 2000 Lakers or Blazers but I felt like they were in the mix that year.,blaze
60315,"I have to live in the desert

The coasts are shit for innovation",desert
60351,My landlord came over my place to let the people fixing my dryer in and to check the measurements for a new carpet and I just know he saw my picture in the living room cus he was flirting on the phone…Whatchuuu look like zaddy ,dry
60463,"Noche tan divertida con 
@Hauntme_music
 y 
@urbanheatband
  ",heat
60533,Post-cycle sweaty selfie. @ LA Fitness Austin - Anderson Lane,sweat
60554,I’m happy for cooler but kinda bummed we’re not going to break the 100 degree day record streak. I’m torn,degree
60697,this is so hot!!!,hot
60712,HUGE thank you to the Austin Environmental Democrats for their advocacy for #solarenergy and dedication to creating change in our city that is both sustainable and long-lasting.,solar
60733,You know you love it when I sweat  be a good boy and worship my sweaty soles,sweat
60743,"Another beautiful sunny day in #ATX  have an amazing weekend, friends!",sunny
60796,This is the football equivalent of overheating https://twitter.com/stopthatfooty/status/1555938574419230720…,heat
60842,"Food, that makes more food. The health benefits of radish leaves are varied ranging from treating diabetes to rheumatism. It contains vitamins and minerals & also acts as a detoxifier. The high iron and phosphorus content of radish leaves increases immunity & reduces fatigue.",fatigue
60854,"The entitlement and racism in downtown Austin, TX is annoying and frustrating. I feel my anger boiling over and I don’t wanna blow up on anyone, regardless if they deserve it or not. But in the words of Pac “…I ain’t a killer but don’t push me.” #hailmary",boiling
60993,Yeah and I thought I was being persnickety over some burned in kid sunscreen fingerprints on my stupid 2019 xc90 ,burn
61015,This must be my youngest daughter’s burner. Choose wisely sweetheart ,burn
61061,Nothing can beat a hot Shipley’s glazed donut but Donut Taco Palace has superior cake donuts and cinnamon rolls.,hot
61205,"Here’s what we know: direct voter contact wins elections.

We’re fighting for affording housing, climate solutions, and an Austin that works for everyone.

Let’s knock doors!",climate
61223,"Damn, forgot how much whole foods hot bar fucks",hot
61230,"@2tonbug
 hope the burns heal quick #pray4joe",burn
61259,"Dear 
@ChikageWeather
, what is this odd #skywater phenomena we're experiencing in Oak Hill? Are we in danger? Maybe 
@JimSpencerKXAN
 will know. #weax #txweax",weather
61274,"Sunny. Hot. And pouring rain! Lol 
@TravisCOSW
 Only last 10 mins tops in south Austin.",hot
61282,Especially when it’s bright outside. But it’s gone. Back to just being hot and humid.,hot
61311,can someone in science tell me why being out in the heat sucks but sitting in hot water feels nice??,heat
61542,"We are LIVE!! 

Case Study began today at 6pm local time

Excited to utilize the #IoTeX #blockchain to PROVE 
@AtticBreeze
 #solar #ventilation superiority 

30 day analysis starts now! 

#PebbleTracker #MachineFi 
@machinefilab
 @iotex_io
 @IoTeX_Community
 Show more",solar
61562,Phone been dry all day,dry
61563,I LOOOOOVE when it starts pouring rain out of nowhere and it’s 95 degrees #justtexasthings #quirky,degree
61620,"This tropical awesomeness! - Drinking a CRISPY/R Thiolized Lager by 
@pinthousepizza
 at 
@pinthouselamar
  —",tropic
61710,Post-partying dry-erase self-portrait inspired by #southaustin. @ South Austin https://instagram.com/p/Cg80_lIuaVm/?igshid=YTgzYjQ4ZTY=…,dry
61713,"Hotter than a witches tit……. But oh so awesome!! #austin is badass city!! Such a cool weekend with the amazing folks from 
@onnit
 #championsSummit #onnit6challenge #teamfatass @ Austin, Texas",hot
61799,McKenzie is throwing the heat right now!!!,heat
61851,"This is not my girl, love. We just having authentic Italian pizza and warm cabaret Sauvignon",warm
61970,snapchat memories  1yr ago w the pregnancy glow ,glow
62005,"It feels like a major difference between AI generated art vs human generated art will be the human part of it! Don’t shy away to show us your personality, express yourself people    
@AssetMantle
 #nft 
@_adamstarr
 #NFTCommunity 
@cosmoshub
 @CosmosNFTs_
  https://hotpot.ai/gallery/8/ai-art-maker…",hot
62026,"Putting some final stickers on my amp, from Deserts of Mars and Mystere. This amp has had quite a good run!",desert
62038,I'm getting too old for this heat. We took a 3 mile hike and it wiped me out. Good thing I've got enough tax returns to work on that I won't have much time for hiking until this heat breaks. #TaxTwitter,heat
62077,Newt Gingrich left a flaming bag of poop on my front porch.,flaming
62089,Same but because this montage is burned into my brain.,burn
62104,"To appreciate sunshine you have to know what rain is 

#birdseyeview #goldengate #goldengatebridge #ColeWorld #nocal #cali #calivibes #california",sunshine
62223,#txclimate,climate
62297,"this except hotter oven, 400-450 if you want the veggies properly browned",hot
62326,"Sunday funday at my folks'! The girls love these chickens. I accidentally butchered the V cut on this delicious R&J but it's still burning smooth so I can't complain  @ Manchaca, Texas",burn
62331,I’ve been begging for years to create a Civilian Climate Corps. Such a shame. https://t.co/Z2CZw7NHR8,climate
62422,"The real question that deserves an honest answer is: Will this bill on balance actually improve climate, inflation & other claims or make them worse? I submit that on close inspection it will increase inflation & not improve climate change! It is pork politics at its core! TJ",climate
62452,"https://wsj.com/articles/democrats-climate-plan-gets-early-green-light-11659798389?st=gvv2mo2v9s5grav&reflink=article_copyURL_share… Looks like shareholders are getting a 1% tax on buybacks. This could have unintended consequences where companies will be more likely to allocate capital into lower ROC investments. Ironically, this may reduce taxes if there is net-net less taxable income",climate
62483,"Fast tracking energy independence policies will have the most immediate impact on inflation. Turn lose oil & gas production, keep nuclear, fast track new inherently safe nuclear Molten Salt type reactors, ie Moltex. Low cost energy will win by efficiency & so will the climate! TJ",climate
62501,"Here are some economic climate answers:
1. Ambri liquid metal batteries better choice for large scale grid storage
2. Plazma Kinetics to capture free H ions from NG Turbines
3. Pond Technologies to capture Co2 from turbines 
via GE’d algae for feed & nutraceutical proteins
TJ",climate
62520,I’d never have dreamt desantis would have the traction he does. It’s no clear that he & his ideas are gaining steam & that tells me he’s in the favor of Rep powers that be.,steam
62591,"So does this historic Climate Bill alter this 
@AOC
 prediction from 2019?

Is the world still ending or all good now?",climate
62592,I’m ready for hoodie weather. Over this oven ass heat we in,heat
62613,"...and then a quick blowup/collapse cycle around Lockhart, and I don't see tropical downpour in Austin either.

I blame Señor Orographic El Lifto. Famous luchador. Ever hear of him?",tropic
62631,Yes! Brilliant. Y’all should totally campaign on the deficit. This is sheer genius. It’s the thing everyone is talking about and losing sleep over! As they turn off their AC during 100 degree summer days to save money for insulin.,degree
62657,The Republican bashing on my tl today 4 being low down dirty bastages warms my heart.,warm
62717,"I’m still here. Just fed up with 
@instagram
 and their stupid changes. 

Cooling off at the pool in this less-than-100° day in #Texas

#ATX #texasweather @ Austin, Texas",cooling
62763,"A clean aroma dominated by pine tar-like rhind quality. The light body lends the way to tropical notes and more deep orange rhind background notes. - Drinking a Luau Dress Code by 
@AustinBeerworks
 at 
@austinbeerworks
  —",tropic
62785,"Super quaffable! - Drinking a Solar Death Ray by 
@HoldOutBrewing
 at 
@holdoutbrewing
  —",solar
62788,"Late post, but had fun at Thursday’s 
@GattisRRISD
 Staff Back to School Par-Tee.  I was sweating profusely, but it didn’t affect my game!   #socialtimeoffcampus #gettingtoknownewpeople",sweat
62835,"It might be hot as hell in Austin but the sunset tonight was cool 
#sunset #sundown #dusk #clouds #sky #Austin @ Austin, Texas",hot
63084,So… most of them? Everyone keeps talking about how much dry powder they… intend to sit on for as long as their mandates allow.,dry
63121,The category is: Young hot Twink Blatino gets fucked hardcore by economy.,hot
63286,I didn’t a 12 hour power burn on a candle and ima have to switch wicks cause at this rate the shit lasts forever! I need y’all to come back in two weeks not 6 ,burn
63335,"Les apuesto a que si el Emiliano fuera de un barrio como la Santa Marta o El Comité del Pueblo, no estarían haciendo una cadena pidiendo respeto y solidaridad para un homicida con la retórica de que “todos somos pecadores”. Así suene feo, mató a dos personas. Acéptenlo.",arid
63339,Why do I have a snap memory of us burning a towel on our balcony 3 years ago?? Who knows what the lads where up to lol,burn
63404,I did not go to sleep last night before my flight home to ATX.  Instead got on a nice heater in craps and poker.  I gotta get to sleep,heat
63483,"Drinking a Buckethead IPA by 
@Thirsty_Planet
 @ Griffin Hall — https://untp.beer/s/c1189414719",thirst
63531,"High School football teams in Texas trying to beat the heat by holding early AM Practice. Student -Athletic Trainers are key player in the Hydration battle w Modified rolling Coolers called Camels 
@fox7austin",heat
63577,When I lived in St.Louis we’d always hit the Italian joints before games. My family always got the toasted ravioli for an app.,toast
63652,"@CamilleCharley
 @StevenHottinger
 @plant19920202",hot
63666,"Gotta love a law firm where staying after 530 is considered ""burning the midnight oil."" ",burn
63687,"it’s so hot, my cars ac was trying its best and it still wasn’t enough",hot
63853,I've got the meat sweats.,sweat
63856,"Never forget this burn from Kofi Kingston to Jinder Mahal referencing his time apart of 3MB  
@TrueKofi
 #HouseofColors #WWE #KofiKingston #news #media #prowrestling #SmackDown #3MB #JinderMahal",burn
63890,tell me something! what kind of [redacted] runs around in a christmas sweater?,sweat
63900,"A fun thought experiment is to try and think of a British band worse than Oasis. You can't, can you? Remarkable.",oasis
63910,Its certainly possible that worse British bands exist. I'd go as far as to say its probable. But you can't think of them because they never got famous. Quite a distinction then by Oasis.,oasis
63937,"Our freshman & JV are starting off the 2022 season strong v. GT Eastview! Warming up the court for Varsity!  
@WeissHighSchool
 @KMACChuck
 @FlxAtx
 @PfISDAthletics
 @PrepDigTX
 @Weiss_ABC
 @varsity_news
 Good ladies! #EarnedNotGiven #BeTheOneWolfpack #ADifferentBreed",warm
63958,"What beat writers are saying about former #Baylor WR Tyquan Thornton during 
@Patriots
 training camp...

""Speed if different.""

""Route running is shining""

""toasted Malcolm Butler...humiliates Terrance Mitchell""

#SicEm",toast
63974,"Welcome back O. Henry teachers! We REignited our purpose, REfocused on our Why, and REconnected with each other in today’s first day of professional learning. #ohmsproud #aisdproud",ignite
64039," What cooler than being cool? (Ice cold!)   

Thanks 
@WeissSportsMed
 for taking care of our 
@WeissFootball
 players during this heat!!!  

#WeissWolves x #ADifferentBreed",heat
64051,"Drinking a Smell the Van by Fairweather Cider Co. at 
@moonshinegrill
 — https://untp.beer/s/c1189459135",weather
64091,"My lo po is great! She bakes us chocolate cake! #chocolatecake #wife #lopo #bake #austin #texas @ Austin, Texas",bake
64231,I think so. I know my friends food issues/questions too. Especially the hot and spicy here in Texas! So I bet Carol knows Paula's and all her other friends questions when it comes to food!Especially if it gives you gas!!!!,hot
64246,"Been playing Multiverses on the Steamdeck and I'm really surprised by how comfortable it is for a handheld.

Well done 
@Steam
 ",steam
64263,NOW COME AND GET HOT HOT HOT HOT,hot
64324,Grey shades leads to Boon..?!,shade
64337,Sizzling? That does not sound good.  Can you record the sound?,sizzling
64463,"Hey Twitter Friends, Please sign in to vote for our #SXSW session A Fast- Track Associates Degree! 
@AustinISD
 @anthonymays5
 @gatesfoundation
 @edstrategygroup
 @AustinChamber
 @accdistrict
 
#SXSW PanelPicker®",degree
64533,I wish it would rain hot queso,hot
64778,"Yo, my hands are sweating looking at this! I’m terrified of heights.",sweat
64905,"Woke up to a phone call at 4:40am informing me that there was water pouring down in the 
@SWFF
 women’s restroom. Sure enough! Pipe to the water heater broke. What a day. ",heat
64916,"I, for one, would like to exclusive tour giant NYC apartments wearing these sweaters, and these sweaters only.",sweat
65023,"Sit back, relax, and steam away the worries of the week 

#yoni #yonisteam #vsteam #vsteamer #treefiftyfour #herbs @ Austin, Texas",steam
65027,"Sit back, relax, and steam away the worries of the week 

#yoni #yonisteam #vsteam #vsteamer #treefiftyfour #herbs",steam
65047,"Little dust devils popping up everywhere these days  
@KXAN_Weather",weather
65097,we’re all just out here sweaty and broke,sweat
65237,"Am I wrong?  It’s part of what I find so attractive in your lovely personality. And since you seem like such a beautiful person, I’ve just assumed you’re smoking hot as well. ",hot
65322,I worked a quarter mile away from that. It shook our building. My coworker saw it happen. He was getting breakfast tacos at the Taco Cabana directly opposite on 183. He felt the heat of the explosion through his car window.,heat
65340,"35mm of 
@IndoorCreature
 for hot summer nights ",hot
65516,"Mexican free-tailed bats!

#Tadarida #bats #congressavenuebridge @ Ann W. Richards Congress Avenue Bridge",arid
65581,I think I want to binge watch Burn Notice again or should I do rewatch Suits,burn
65628,respect to u people who live in hot ass states bc damn these summers are NUTS,hot
65690,"I stand in support of 
@yuhline
. 
Running as an AAPI is hard. 

This past Monday I went to a candidate happy hour. I had an attendee tell me that the ATX heat probably isn’t effecting me as much as others bc I’m brown & my families from Pakistan and I should be used to this heat.",heat
65691,"I often get asked about “industry standard” LP conversion rates in ecomm. Anyone have a good resource? 

I have answers in my brain but the market has been wild the past 6mo. 

Tagging:
@Splittestingcom
@CarlWeische
 
@binghott
 ",hot
65749,"As a Dasher, I always place the stuff strategically near the door, on a bench or table and be aware of screen doors. Never obstruct. Sadly, some just drop the food and run. I also transport all food in the thermal bag and where applicable, let the customer remove it from the bag.",thermal
65765,i need 40-70 degree weather like now,degree
65800,"This is an unexpected delight. I’ve been following along, like y’all, as Andry continues to become a juggernaut in comics. It’s been a thing to behold, and it feels great to be seen/appreciated. Thank you David, the feeling is mutual.",dry
65822,"This is how many calories I burn in a single work day 

Plus I walk to and from my apartment even when I’m on lunch",burn
65970,"Proud to have signed onto this letter pushing for a long-term shift to clean electric buses for 
@AustinISD
 students. 

This is a crucial step forward not only for student health, but for our climate and the reduction of our dependence on fossil fuels.",climate
65983,I swear air fryers are just toaster ovens,toast
66001,The universe is gifting us BeReal since they took PHHHOTO away from us,hot
66026,neither of us want any part of this 104 degrees nonsense rn,degree
66105,I am excited by Beto Fever!,fever
66115,"Finally home from work.
Drop Your Hot Fire!
#NFT #NFTs",hot
66144,"Our chocolate lab Olivia is enjoying the 100+ degree days of summer in Austin, Texas. #ATXWX",degree
66147,"Hot Off The Easel; New Artwork! 
""Jeska"" acrylics on 20×20 canvas, completed Wed Aug 10, 2022. #prettycoolartbycjo #prettycoolart #austinartist #acrylicpainting #austinfemaleartist #austinart #jeskaforsyth #jeskabaileyforsyth
Orig painting is For Sale; msg me/cjo for details.",hot
66188,Don’t forget there will be several opportunities for rain this week! Don’t lose hope if conditions stay dry today.,dry
66231,And this is why I'm voting for Beto. Abbott and his Trumpublican party can go burn in Mar-A-Lago with Trump!,burn
66301,Koozie and cowboy bandana to wipe sweat from my forehead,sweat
66337,"Our main dude 
@shinyribs
 crushed his #BluesontheGreen set for 
@ACL_RADIO
 wearing our 
@fireflycloak
!  Don't miss out, show the glow in your soul by following our link in our bio for your own lighted gear!",glow
66342,"What are these strange crystalline things hitting the window?

#ATX #txweather #isthisrain #drought @ Domain Northside",drought
66435,"Sad story - 19 puppies just arrived here at 
@austinpetsalive
 The  mom dogs of these puppies were left out in the Central Texas heat and died. Our staff wants you to know the puppies are all about two months old and they are being housed in kennels. Can you foster/adopt one?",heat
66457,"Married the love of his life, back to being the Batman he wanted to be, eating his Dunkin’… Ben is BACK baby! https://twitter.com/SeanMBurns/status/1557317791870554113…",burn
66470,"With temps reaching 103 today, APA! wants all dog owners to remember to try to keep your dogs inside from 10a-8p, have plenty of water for your dogs to drink when you take them on walks and never leave pets in a car unattended.#dogs #HeatWarning #ATX",heat
66512,"Ugh, I’ve become one of those moms who drives all over town for the hottest toy that’s sold out everywhere!!!  But anything for my Boo-Bear. ",hot
